FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String)
Hennie,Hannenhalli,F,701,1639973,ROSS,ND,58776,S,Y
Jianjian,Jokiniemi,M,802,6983590,BURLINGTON,VT,5401,M,Y
Rene,Beke,F,801,6192334,CORNISH,UT,84308,M,Y
Mansour,Tawfik,M,419,4661171,CLEVELAND,OH,44111,S,Y
Dushyanth,Khetawat,F,417,1313931,REPUBLIC,MO,65738,S,Y
Byoung,Claire,F,347,7213742,NEW YORK,NY,10268,S,Y
Elben,Goullioud,F,731,6667840,FLINTVILLE,TN,37335,S,N
Yuichiro,Uckun,F,808,6059466,MOUNTAIN VIEW,HI,96771,S,N
PerOlof,Motwani,F,980,8484643,POTECASI,NC,27867,S,Y
Eduardus,Deineko,M,402,8656591,BELVIDERE,NE,68315,M,Y
Eser,Duparc,F,303,5872027,CARR,CO,80612,S,N
Johnathan,Zullighoven,F,907,8898447,KASILOF,AK,99610,S,N
Jianxi,Comyn,F,808,4049902,NAALEHU,HI,96772,M,Y
Ria,Lindenbaum,M,870,1539204,ALTUS,AR,72821,S,N
Manju,Kipnis,F,443,1266430,WEST RIVER,MD,20778,S,N
Dragan,Pagter,F,939,6174759,MANATI,PR,674,S,Y
Changsik,Jacques,F,818,1121701,FELLOWS,CA,93224,M,N
Bryony,Bassolet,F,603,5721629,BARNSTEAD,NH,3218,S,N
Chuda,Kirkham,F,517,8352893,HOWELL,MI,48863,S,Y
Mei,Boehm,F,651,9064303,ANGLE INLET,MN,56711,S,Y
Charley,Surya,M,302,6162532,NEWARK,DE,19725,M,Y
Ina,Muhlen,M,551,7241961,STONE HARBOR,NJ,8247,M,Y
Jonas,Malolepszy,M,907,9101881,ANCHORAGE,AK,99510,M,Y
Zhixue,Lucks,F,856,5835483,SHREWSBURY,NJ,7702,M,N
Xianjing,Jolfaei,M,479,5951516,CALDWELL,AR,72322,M,Y
Maitreya,Wiegley,F,501,1344359,PINEVILLE,AR,72566,M,Y
Khurram,Kawakami,F,878,2029679,ALTOONA,PA,16601,M,Y
Catharine,Dass,M,719,8408003,FORT LUPTON,CO,80621,M,N
Oron,Gerke,F,205,6309271,EUFAULA,AL,36027,S,Y
Hideki,Middleton,F,307,3633684,CLEARMONT,WY,82835,M,Y
Eike,Michailidis,M,208,3673449,MERIDIAN,ID,83646,M,N
Wiiliam,Devesa,F,219,2826761,BIPPUS,IN,46713,S,N
Deborah,Kroll,F,315,6241878,DEER PARK,NY,11729,M,N
Jeno,Broodsky,M,580,7981694,WARNER,OK,74469,M,N
Chanathip,Sessa,F,919,3318110,WINSTON SALEM,NC,27157,S,Y
Noburu,Luzi,F,605,5561199,KAYLOR,SD,57354,S,Y
Guoqiang,Busillo,M,856,5454920,WINSLOW,NJ,8095,S,N
Mel,Schend,M,479,8513156,FORREST CITY,AR,72336,M,Y
Judi,Engelmann,F,803,3359638,SWANSEA,SC,29160,S,N
Evgeny,Waheed,F,769,6591774,ETTA,MS,38627,M,N
