FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),SingleExemp(Integer),MarriedExemp(Integer),ChildExemp(Integer)
Hennie,Hannenhalli,F,701,1639973,ROSS,ND,58776,S,Y,3300,0,3300
Jianjian,Jokiniemi,M,802,6983590,BURLINGTON,VT,5401,M,Y,0,6600,3300
Rene,Beke,F,801,6192334,CORNISH,UT,84308,M,Y,0,4950,2475
Mansour,Tawfik,M,419,4661171,CLEVELAND,OH,44111,S,Y,1300,0,1300
Dushyanth,Khetawat,F,417,1313931,REPUBLIC,MO,65738,S,Y,2100,0,1200
Byoung,Claire,F,347,7213742,NEW YORK,NY,10268,S,Y,0,0,1000
Elben,Goullioud,F,731,6667840,FLINTVILLE,TN,37335,S,N,0,0,0
Yuichiro,Uckun,F,808,6059466,MOUNTAIN VIEW,HI,96771,S,N,1040,0,0
PerOlof,Motwani,F,980,8484643,POTECASI,NC,27867,S,Y,3300,0,3300
Eduardus,Deineko,M,402,8656591,BELVIDERE,NE,68315,M,Y,0,206,103
Eser,Duparc,F,303,5872027,CARR,CO,80612,S,N,0,0,0
Johnathan,Zullighoven,F,907,8898447,KASILOF,AK,99610,S,N,0,0,0
Jianxi,Comyn,F,808,4049902,NAALEHU,HI,96772,M,Y,0,2080,1040
Ria,Lindenbaum,M,870,1539204,ALTUS,AR,72821,S,N,20,0,0
Manju,Kipnis,F,443,1266430,WEST RIVER,MD,20778,S,N,2400,0,0
Dragan,Pagter,F,939,6174759,MANATI,PR,674,S,Y,0,0,0
Changsik,Jacques,F,818,1121701,FELLOWS,CA,93224,M,N,0,174,0
Bryony,Bassolet,F,603,5721629,BARNSTEAD,NH,3218,S,N,0,0,0
Chuda,Kirkham,F,517,8352893,HOWELL,MI,48863,S,Y,3100,0,3100
Mei,Boehm,F,651,9064303,ANGLE INLET,MN,56711,S,Y,3300,0,3300
Charley,Surya,M,302,6162532,NEWARK,DE,19725,M,Y,0,220,110
Ina,Muhlen,M,551,7241961,STONE HARBOR,NJ,8247,M,Y,0,2000,1500
Jonas,Malolepszy,M,907,9101881,ANCHORAGE,AK,99510,M,Y,0,0,0
Zhixue,Lucks,F,856,5835483,SHREWSBURY,NJ,7702,M,N,0,2000,0
Xianjing,Jolfaei,M,479,5951516,CALDWELL,AR,72322,M,Y,0,40,20
Maitreya,Wiegley,F,501,1344359,PINEVILLE,AR,72566,M,Y,0,40,20
Khurram,Kawakami,F,878,2029679,ALTOONA,PA,16601,M,Y,0,0,0
Catharine,Dass,M,719,8408003,FORT LUPTON,CO,80621,M,N,0,0,0
Oron,Gerke,F,205,6309271,EUFAULA,AL,36027,S,Y,1500,0,300
Hideki,Middleton,F,307,3633684,CLEARMONT,WY,82835,M,Y,0,0,0
Eike,Michailidis,M,208,3673449,MERIDIAN,ID,83646,M,N,0,6600,0
Wiiliam,Devesa,F,219,2826761,BIPPUS,IN,46713,S,N,1000,0,0
Deborah,Kroll,F,315,6241878,DEER PARK,NY,11729,M,N,0,0,0
Jeno,Broodsky,M,580,7981694,WARNER,OK,74469,M,N,0,2000,0
Chanathip,Sessa,F,919,3318110,WINSTON SALEM,NC,27157,S,Y,3300,0,3300
Noburu,Luzi,F,605,5561199,KAYLOR,SD,57354,S,Y,0,0,0
Guoqiang,Busillo,M,856,5454920,WINSLOW,NJ,8095,S,N,1000,0,0
Mel,Schend,M,479,8513156,FORREST CITY,AR,72336,M,Y,0,40,20
Judi,Engelmann,F,803,3359638,SWANSEA,SC,29160,S,N,3300,0,0
Evgeny,Waheed,F,769,6591774,ETTA,MS,38627,M,N,0,12000,0
Estrella,Bertilsson,F,406,3464682,GREAT FALLS,MT,59401,S,N,1900,0,0
Tomonari,Yeap,M,434,9835738,DOLPHIN,VA,23843,M,Y,0,1800,900
Alvaro,Rivard,M,408,4059244,ALHAMBRA,CA,91841,S,Y,87,0,272
Neville,Trivett,F,443,9396008,BETHESDA,MD,20816,S,Y,2400,0,2400
Serban,Melzak,F,208,2986872,PINEHURST,ID,83850,S,N,3300,0,0
Farzan,Knowles,M,808,3458649,HONOLULU,HI,96810,S,N,1040,0,0
Fredric,Petry,M,478,9307660,GRAYSON,GA,30017,S,N,2700,0,0
Timm,Bhagavathi,M,337,1749635,BATON ROUGE,LA,70891,M,Y,0,9000,1000
Lynnau,Jarzabek,M,865,4649868,BROWNSVILLE,TN,38012,S,N,0,0,0
Etsuko,d Inverno,M,618,9695285,MOUND CITY,IL,62963,M,N,0,4000,0
Nate,Koshkin,M,505,9788287,DEMING,NM,88030,M,N,0,6600,0
Jolita,Can,M,843,5961844,GABLE,SC,29051,S,N,3300,0,0
Blagovest,Heemskerk,M,870,1735525,MALVERN,AR,72104,S,Y,20,0,20
Andris,Gammill,F,256,1565986,BRANTLEY,AL,36009,S,N,1500,0,0
Xiaopeng,Cheiner,F,910,5375160,RALEIGH,NC,27690,M,N,0,6600,0
Burkhard,Ballin,F,209,2919116,LOS ANGELES,CA,90068,S,N,87,0,0
Sachio,Franzblau,F,309,2988689,HARDIN,IL,62047,S,Y,2000,0,2000
Yucai,Leonidas,M,307,6717685,AUBURN,WY,83111,S,Y,0,0,0
Meltem,Osterloh,M,202,1444863,WASHINGTON,DC,20539,S,N,1370,0,0
Hiroki,Winters,F,205,4628357,VANDIVER,AL,35176,S,Y,1500,0,300
Soojung,Breuker,M,920,3786942,GREEN BAY,WI,54303,M,Y,0,1400,400
JoAnne,Bergstra,F,857,9812818,NATICK,MA,1760,M,N,0,7150,0
Thoms,Ebeling,F,216,8963824,BLISSFIELD,OH,43805,S,N,1300,0,0
Yigal,Krabbel,M,765,2132549,CLAYTON,IN,46118,S,N,1000,0,0
Rosalyn,Pinckney,M,781,5272356,SALEM,MA,1971,M,Y,0,7150,1000
Zhibin,Peterka,F,715,1662135,MILWAUKEE,WI,53244,S,N,700,0,0
Keshab,Kubera,M,708,3598771,FOX VALLEY,IL,60599,S,Y,2000,0,2000
Ragui,Shokrollahi,M,201,7137145,MILLSTONE TOWNSHIP,NJ,8535,S,Y,1000,0,1500
Felicity,Latyshev,F,307,1331064,CHEYENNE,WY,82009,M,N,0,0,0
Heng,Pelz,M,312,3331255,REDDICK,IL,60961,S,Y,2000,0,2000
Xiaowei,Michalakopoulos,F,605,1535365,MANDERSON,SD,57756,M,N,0,0,0
Houari,Zaimov,F,443,3949085,SPENCERVILLE,MD,20868,S,Y,2400,0,2400
Teresemarie,Aso,M,401,6862628,WESTERLY,RI,2891,S,Y,0,0,0
Milvio,Cippico,M,207,3784165,AUGUSTA,ME,4336,S,Y,2850,0,2850
Surapant,Bail,M,864,5472497,CORDOVA,SC,29039,S,Y,3300,0,3300
Constantine,Nitsch,F,719,1833382,PENROSE,CO,81240,S,N,0,0,0
Kyosun,Dahlhaus,F,435,7674129,SALT LAKE CITY,UT,84133,M,N,0,4950,0
Keiji,Kennamer,F,870,4231116,LUXORA,AR,72358,S,Y,20,0,20
Angkul,Hamrick,F,318,4758528,METAIRIE,LA,70006,S,Y,4500,0,1000
Pui,Stenstrom,M,937,4409174,COLUMBUS,OH,43209,M,N,0,2600,0
Wilmer,Brizzi,F,973,1706348,HACKENSACK,NJ,7601,S,N,1000,0,0
Keju,Obradovich,F,828,8747542,ROCKY MOUNT,NC,27801,M,N,0,6600,0
Mei,Brolio,F,347,6312873,DEANSBORO,NY,13328,S,N,0,0,0
Daan,Givens,M,308,7872479,BELLEVUE,NE,68123,M,Y,0,206,103
Kuhanandha,Strothotte,M,325,8214378,TOW,TX,78672,S,Y,0,0,0
Sukhmay,Kaio,M,505,4679996,LOS LUNAS,NM,87031,M,N,0,6600,0
Joacheim,Goodby,M,605,2409915,WESTPORT,SD,57481,M,Y,0,0,0
Irith,Cestnik,M,308,1628455,WESTON,NE,68070,S,Y,103,0,103
Liao,Viehstaedt,M,920,7134471,IRON BELT,WI,54536,S,Y,700,0,400
Rang,Fordan,M,605,3023147,MILESVILLE,SD,57553,S,Y,0,0,0
Hidetsune,McAffer,M,605,8083276,MURDO,SD,57559,S,N,0,0,0
Giorgio,Aue,M,812,5295445,INDIANAPOLIS,IN,46291,M,Y,0,2000,1000
